																					Class	L	R	B	B	B
8	3.757	501.13699	Unknown	[M-H]-	similar chromatogram in higher mz_2013	1	False	null	null	null	null		null	null	null	null	null	17.41	Blank_01_180105013944	501.13699:46450 502.14034:37902 503.1437:0		37293	28982	41634	37819	46450
9	1.363	501.23492	Unknown	[M-H]-		0.2	False	null	null	null	null		null	null	null	null	null	6.17	20180104_RG_01R	501.23492:19702 502.23827:0 503.24163:183		0	19702	700	0	0
10	4.67	501.2522	Unknown	[M-H]-		0.2	False	null	null	null	null		null	null	null	null	null	16.31	20180104_RG_01R	501.2522:52116 502.25555:58163 503.25891:8844		0	52116	0	0	0
11	3.268	502.29446	Unknown	[M-H]-	similar chromatogram in higher mz_712; found in higher mz's MsMs_712; found in higher mz's MsMs_583; similar chromatogram in higher mz_1722; similar chromatogram in higher mz_1581; similar chromatogram in higher mz_2483; similar chromatogram in higher mz_3299; similar chromatogram in higher mz_3797; similar chromatogram in higher mz_3876; similar chromatogram in higher mz_3990; similar chromatogram in higher mz_4332; similar chromatogram in higher mz_4477; similar chromatogram in higher mz_5736	0.2	True	null	null	null	null		null	null	null	null	null	289.57	20180104_RG_01R	502.29446:435090 503.29781:265489 504.30117:66535	59.01293:1397 73.08459:1370 78.95806:6419 82.97171:1254 91.99556:3962 95.18221:1177 156.68396:1344 168.0443:2894 174.95602:1895 180.10269:1247 192.43886:1550 196.37265:1266 224.0714:2237 242.07935:9407 277.21707:262315 448.16162:1499 502.29962:17133	3343	435090	0	0	0
12	3.422	502.29498	Unknown	[M-H]-	similar chromatogram in higher mz_3230; similar chromatogram in higher mz_503	0.2	False	null	null	null	null		null	null	null	null	null	10.12	20180104_RG_01R	502.29498:15207 503.29833:4124 504.30169:0		0	15207	0	0	0
13	3.366	502.29553	Unknown	[M-H]-	found in higher mz's MsMs_713	0.2	False	null	null	null	null		null	null	null	null	null	48.85	20180104_RG_01R	502.29553:76018 503.29888:61023 504.30224:8597		3562	76018	0	0	0
14	0.411	502.91803	Unknown	[M-H]-		0.2	True	null	null	null	null		null	null	null	null	null	184.57	20180104_RG_01R	502.91803:660033 503.92138:1024370 504.92474:662991	70.99786:10520 86.99295:10551 102.98823:11127 104.95998:2511 114.98773:152108 115.98917:19213 116.98542:35197 130.98328:253437 131.9841:43753 132.98077:57520 148.9491:8799 158.97855:1251680 159.97951:196216 160.97604:255678 192.4489:2638 216.96811:23120 217.96898:8659 218.96657:20126 228.97104:11174 230.96849:3341 244.9628:3763 246.96439:2631 272.95856:554202 273.96216:237827 274.95834:451282 275.96024:3583 386.93698:20394 387.94321:18764 388.93744:57063	775	660033	0	0	0
15	1.113	503.12097	Unknown	[M-H]-	adduct linked to 532_[M+FA-H]-	0.2	False	null	null	null	null		null	null	null	null	null	12.5	20180104_RG_01R	503.12097:39067 504.12432:15912 505.12768:4267		3889	39067	0	0	0
16	0.471	503.16306	Unknown	[M-H]-	similar chromatogram in higher mz_1359; similar chromatogram in higher mz_1548	0.2	False	null	null	null	null		null	null	null	null	null	24.46	20180104_RG_01L	503.16306:64937 504.16641:86891 505.16977:23041		64937	14614	0	1583	0
17	0.801	503.16989	Unknown	[M-H]-	similar chromatogram in higher mz_94; similar chromatogram in higher mz_3268; similar chromatogram in higher mz_4640; similar chromatogram in higher mz_1012	0.2	False	null	null	null	null		null	null	null	null	null	14.2	20180104_RG_01R	503.16989:43807 504.17324:16412 505.1766:35442		10593	43807	0	0	0
18	1.008	503.17896	Unknown	[M-H]-	similar chromatogram in higher mz_646; similar chromatogram in higher mz_949	0.2	False	null	null	null	null		null	null	null	null	null	9.2	20180104_RG_01L	503.17896:24437 504.18231:12358 505.18567:0		24437	2713	0	0	0
19	0.621	503.18057	Unknown	[M-H]-		0.2	False	null	null	null	null		null	null	null	null	null	13.31	20180104_RG_01R	503.18057:30084 504.18392:18738 505.18728:0		940	30084	0	0	0
20	1.363	503.21423	Unknown	[M-H]-		0.2	False	null	null	null	null		null	null	null	null	null	9.39	20180104_RG_01R	503.21423:21222 504.21758:3963 505.22094:0		0	21222	0	0	0
21	4.115	503.26337	Unknown	[M-H]-		0.2	False	null	null	null	null		null	null	null	null	null	24.08	20180104_RG_01R	503.26337:54424 504.26672:24224 505.27008:0		0	54424	0	0	0
22	1.674	503.28735	Unknown	[M-H]-		0.2	False	null	null	null	null		null	null	null	null	null	26.65	20180104_RG_01L	503.28735:37493 504.2907:19498 505.29406:0		37493	0	0	0	0
23	2.032	503.28754	Unknown	[M-H]-	found in higher mz's MsMs_2210	0.2	False	null	null	null	null		null	null	null	null	null	12.14	20180104_RG_01L	503.28754:17080 504.29089:8249 505.29425:0		17080	0	0	0	0
24	4.517	503.32315	Unknown	[M-H]-		0.2	False	null	null	null	null		null	null	null	null	null	3.58	20180104_RG_01L	503.32315:11006 504.3265:5015 505.32986:0		11006	2845	5075	12020	6230
25	5.935	503.33893	Unknown	[M-H]-	similar chromatogram in higher mz_216	0.2	True	null	null	null	null		null	null	null	null	null	17.62	20180104_RG_01R	503.33893:166660 504.34228:139054 505.34564:35508	77.17457:1358 104.18403:1260 108.97865:1158 119.86546:1269 160.01619:7166 161.02516:1363 175.04117:29894 193.05061:2138 224.93935:1365 306.27646:1361 327.29199:4327 495.42892:1683 503.33694:26901	0	166660	0	0	0
26	5.531	503.40759	Unknown	[M-H]-		0.6	True	null	null	null	null		null	null	null	null	null	4240.85	Blank_01_180104225037	503.40759:352520 504.41094:178378 505.4143:38114	51.68301:1006 55.38469:1008 85.49545:1429 86.12659:1307 116.31489:1228 125.49902:1179 158.16962:1224 192.3728:1260 211.05283:1334 231.81641:1310 267.70929:1382 301.40298:1364 383.03894:1225 435.42526:6546 453.37207:2174 503.41086:119583	0	0	40888	352520	281268
27	0.604	503.9653	Unknown	[M-H]-		0.2	False	null	null	null	null		null	null	null	null	null	5.38	20180104_RG_01R	503.9653:13133 504.96865:65824 505.97201:15248		0	13133	0	0	0
28	0.833	504.19049	Unknown	[M-H]-		0.2	False	null	null	null	null		null	null	null	null	null	10.61	20180104_RG_01R	504.19049:21973 505.19384:17713 506.1972:0		0	21973	0	0	0
29	3.576	504.30963	Unknown	[M-H]-	found in higher mz's MsMs_745; found in higher mz's MsMs_613	0.2	True	null	null	null	null		null	null	null	null	null	59544.42	20180104_RG_01R	504.30963:2977221 505.31298:1952609 506.31634:448769	59.01249:9132 78.95839:47087 152.99591:7101 168.04254:24167 192.44893:1615 203.75552:1563 224.06847:17499 242.0793:48199 261.22321:7844 265.32803:1762 272.84311:1719 279.23318:1881675 280.23648:33440 340.98499:5330 360.99164:1781 504.3125:103326	7122	2977221	0	0	2406
30	3.686	504.30972	Unknown	[M-H]-	similar chromatogram in higher mz_746; found in higher mz's MsMs_746; similar chromatogram in higher mz_614; similar chromatogram in higher mz_2430; similar chromatogram in higher mz_2507; similar chromatogram in higher mz_3219; similar chromatogram in higher mz_3398; similar chromatogram in higher mz_3902; similar chromatogram in higher mz_4008; similar chromatogram in higher mz_4499; similar chromatogram in higher mz_4572; similar chromatogram in higher mz_5003; similar chromatogram in higher mz_5070; similar chromatogram in higher mz_5529; found in higher mz's MsMs_614	0.2	True	null	null	null	null		null	null	null	null	null	16648.55	20180104_RG_01R	504.30972:832427 505.31307:637270 506.31643:140190	59.38581:1132 70.57475:1084 78.95806:4579 101.27945:1139 111.18398:1291 152.99596:1613 174.95602:1570 191.02116:1228 192.45912:1685 224.0714:8267 242.08281:1452 279.23291:81531 340.98508:1944 452.86938:1402 482.09494:1463 504.31335:14132	7122	832427	0	0	0
31	4.212	504.31061	Unknown	[M-H]-	similar chromatogram in higher mz_1789; similar chromatogram in higher mz_899	0.2	False	null	null	null	null		null	null	null	null	null	5.15	20180104_RG_01R	504.31061:16866 505.31396:5915 506.31732:0		0	16866	0	0	0
32	6.443	504.36081	Unknown	[M-H]-		0.2	False	null	null	null	null		null	null	null	null	null	12.25	20180104_RG_01L	504.36081:15210 505.36416:0 506.36752:0		15210	0	0	0	0
33	0.604	504.97485	Unknown	[M-H]-	similar chromatogram in higher mz_104; similar chromatogram in higher mz_152; similar chromatogram in higher mz_85; similar chromatogram in higher mz_2300	0.2	False	null	null	null	null		null	null	null	null	null	4.98	20180104_RG_01R	504.97485:33574 505.9782:18043 506.98156:17070		0	33574	0	0	0
34	3.576	505.00858	Unknown	[M-H]-	adduct linked to 559_[M+FA-H]-	0.2	False	null	null	null	null		null	null	null	null	null	1.98	20180104_RG_01R	505.00858:50791 506.01193:0 507.01529:65960		45377	50791	36401	39974	47945
35	0.591	505.02942	Unknown	[M-H]-		0.2	False	null	null	null	null		null	null	null	null	null	30.99	20180104_RG_01L	505.02942:183674 506.03277:63703 507.03613:9657		183674	11616	0	0	0
36	1.186	505.19345	Unknown	[M-H]-		0.2	False	null	null	null	null		null	null	null	null	null	3.02	20180104_RG_01R	505.19345:17515 506.1968:4289 507.20016:7546		0	17515	0	0	0
37	1.084	505.19366	Unknown	[M-H]-		0.2	False	null	null	null	null		null	null	null	null	null	5.93	20180104_RG_01R	505.19366:34428 506.19701:20958 507.20037:0		0	34428	0	0	0
38	4.833	505.19684	Unknown	[M-H]-	similar chromatogram in higher mz_6194; similar chromatogram in higher mz_182; similar chromatogram in higher mz_601; similar chromatogram in higher mz_3038; similar chromatogram in higher mz_4231; similar chromatogram in higher mz_4999	0.2	False	null	null	null	null		null	null	null	null	null	28.21	20180104_RG_01R	505.19684:163739 506.20019:138885 507.20355:183829		0	163739	0	0	0
39	3.405	505.2135	Unknown	[M-H]-		0.2	True	null	null	null	null		null	null	null	null	null	15.49	Blank_01_180105013944	505.2135:233907 506.21685:99933 507.22021:124463	70.45666:1100 78.95792:1498 85.50815:1670 100.80811:1257 110.98497:1622 112.85838:1120 122.19033:1264 164.92842:1466 174.9579:1733 192.38786:2235 276.40833:1542 279.23224:88474 337.19394:5654 340.98444:6304 406.39136:1440 447.25458:12934 449.3873:1549 457.68796:1408 505.21393:8859	0	0	0	0	233907
40	4.538	505.25922	Unknown	[M-H]-		0.2	False	null	null	null	null		null	null	null	null	null	22.1	20180104_RG_01R	505.25922:43662 506.26257:11558 507.26593:0		5714	43662	0	0	0
41	2.475	505.35568	Unknown	[M-H]-	similar chromatogram in higher mz_2598; similar chromatogram in higher mz_65; similar chromatogram in higher mz_5751	0.2	False	null	null	null	null		null	null	null	null	null	207.91	20180104_RG_01R	505.35568:10396 506.35903:0 507.36239:0		0	10396	0	0	0
42	4.451	505.99832	Unknown	[M-H]-		0.2	False	null	null	null	null		null	null	null	null	null	12.93	20180104_RG_01L	505.99832:20782 507.00167:32166 508.00503:29405		20782	6760	5661	1537	3354
43	3.978	506.32507	Unknown	[M-H]-	found in higher mz's MsMs_773; similar chromatogram in higher mz_1788	0.2	False	null	null	null	null		null	null	null	null	null	29.89	20180104_RG_01R	506.32507:60821 507.32842:29793 508.33178:0		0	60821	0	0	0
44	4.075	506.32532	Unknown	[M-H]-		0.2	False	null	null	null	null		null	null	null	null	null	13.23	20180104_RG_01R	506.32532:26927 507.32867:6220 508.33203:0		0	26927	0	0	0
45	0.756	507.0675	Unknown	[M-H]-		0.2	True	null	null	null	null		null	null	null	null	null	32.94	20180104_RG_01L	507.0675:254908 508.07085:136199 509.07421:190993	50.7379:1001 57.87668:1160 59.52324:1078 62.37214:1150 62.54116:1146 68.40188:1101 68.91238:1081 79.52414:1314 85.54132:1848 92.00226:2713 102.59449:1218 112.88818:1485 133.03049:1471 135.04567:6893 161.02431:56170 179.03555:12373 192.46925:1781 195.31453:1258 256.89651:1390 301.89536:1292 323.08118:7511 352.54175:1309 387.87781:1384 449.10727:39693	254908	0	0	0	0
46	0.864	507.07019	Unknown	[M-H]-	similar chromatogram in higher mz_510; similar chromatogram in higher mz_372; similar chromatogram in higher mz_787	0.2	False	null	null	null	null		null	null	null	null	null	4.57	20180104_RG_01L	507.07019:34884 508.07354:14823 509.0769:15903		34884	0	0	0	0
47	5.779	507.12485	Unknown	[M-H]-	adduct linked to 599_[M+FA-H]-	0.6	False	null	null	null	null		null	null	null	null	null	5.93	Blank_01_180104205754	507.12485:31048 508.1282:0 509.13156:34727		9640	20732	31048	26819	13935
48	1.019	507.15018	Unknown	[M-H]-		0.2	False	null	null	null	null		null	null	null	null	null	2.57	20180104_RG_01R	507.15018:35442 508.15353:15044 509.15689:0		0	35442	0	0	0
49	0.737	507.20908	Unknown	[M-H2O-H]-	adduct linked to 213_[M-H]-	0.2	False	null	null	null	null		null	null	null	null	null	1.81	20180104_RG_01R	507.20908:24616 508.21243:23916 509.21579:16836		0	24616	0	0	0
50	2.402	507.23923	Unknown	[M-H]-		0.2	False	null	null	null	null		null	null	null	null	null	23.27	20180104_RG_01R	507.23923:28796 508.24258:9161 509.24594:9358		0	28796	0	0	0
51	1.229	507.28281	Unknown	[M-H]-		0.2	False	null	null	null	null		null	null	null	null	null	14.69	20180104_RG_01L	507.28281:30325 508.28616:13602 509.28952:0		30325	0	0	0	2137
52	0.801	508.20401	Unknown	[M-H]-		0.2	False	null	null	null	null		null	null	null	null	null	15.86	20180104_RG_01R	508.20401:50076 509.20736:24497 510.21072:4914		5643	50076	1920	710	589
53	1.324	508.20474	Unknown	[M-H]-		0.2	False	null	null	null	null		null	null	null	null	null	16.08	20180104_RG_01R	508.20474:55408 509.20809:39527 510.21145:6700		2919	55408	1247	2220	1373
54	0.409	508.20911	Unknown	[M-H]-		0.6	False	null	null	null	null		null	null	null	null	null	7.76	20180104_RG_01R	508.20911:30573 509.21246:19761 510.21582:24926		21301	30573	18048	5179	2074
55	5.185	508.34174	Unknown	[M-H]-		0.2	False	null	null	null	null		null	null	null	null	null	2827.43	20180104_RG_01R	508.34174:141372 509.34509:104577 510.34845:9600		0	141372	0	3318	1391
56	0.442	508.86765	Unknown	[M-H]-	adduct linked to 620_[M+FA-H]-	0.2	False	null	null	null	null		null	null	null	null	null	24.29	20180104_RG_01R	508.86765:190033 509.871:189655 510.87436:292608		3558	190033	3156	1925	2832
57	2.908	508.87714	Unknown	[M-H]-		0.2	False	null	null	null	null		null	null	null	null	null	2.48	Blank_01_180104225037	508.87714:28710 509.88049:0 510.88385:10429		18557	20793	26153	28710	34008
58	6.33	508.9845	Unknown	[M-H]-		0.2	False	null	null	null	null		null	null	null	null	null	1.4	20180104_RG_01L	508.9845:46155 509.98785:0 510.99121:86887		46155	29434	32898	33870	29540
59	1.924	509.11539	Unknown	[M-H]-		0.2	False	null	null	null	null		null	null	null	null	null	2.99	20180104_RG_01L	509.11539:16066 510.11874:10117 511.1221:0		16066	0	0	0	0
60	0.569	509.13214	Unknown	[M-H]-		0.2	False	null	null	null	null		null	null	null	null	null	3.91	20180104_RG_01L	509.13214:21054 510.13549:3724 511.13885:4989		21054	6285	0	0	0
61	1.188	509.16528	Unknown	[M-H]-		0.4	False	null	null	null	null		null	null	null	null	null	5.04	20180104_RG_01R	509.16528:49939 510.16863:13891 511.17199:15681		21775	49939	0	0	0
62	1.513	509.22296	Unknown	[M-H]-		0.2	False	null	null	null	null		null	null	null	null	null	491.88	20180104_RG_01R	509.22296:24594 510.22631:0 511.22967:6374		174	24594	370	185	180
63	0.661	509.22482	Unknown	[M-H]-	similar chromatogram in higher mz_2154	0.4	True	null	null	null	null		null	null	null	null	null	38.2	20180104_RG_01R	509.22482:234472 510.22817:94882 511.23153:24259	56.61218:1202 59.01294:8133 61.98749:1717 71.01321:6183 73.02832:1306 75.76765:1140 89.02359:17123 90.84469:1250 98.13587:1321 101.02382:10378 119.03449:1626 131.03445:7564 149.0455:16177 179.05717:1414 187.70895:1372 191.05623:2726 192.43886:1514 463.22003:14083	73414	234472	0	107	0
64	0.899	509.22595	Unknown	[M-H]-		0.2	False	null	null	null	null		null	null	null	null	null	9.68	20180104_RG_01R	509.22595:128391 510.2293:58770 511.23266:7037		0	128391	0	0	0
65	2.475	509.25455	Unknown	[M-H]-	similar chromatogram in higher mz_5504	0.2	False	null	null	null	null		null	null	null	null	null	253.71	20180104_RG_01R	509.25455:12685 510.2579:5405 511.26126:7475		0	12685	0	0	0
66	2.619	509.25479	Unknown	[M-H]-		0.2	False	null	null	null	null		null	null	null	null	null	6.05	20180104_RG_01R	509.25479:50114 510.25814:28530 511.2615:21131		0	50114	0	0	0
67	5.972	509.25967	Unknown	[M-H2O-H]-	adduct linked to 240_[M-H]-	0.6	False	null	null	null	null		null	null	null	null	null	12.7	Blank_01_180104225037	509.25967:20916 510.26302:7214 511.26638:0		8737	5826	12257	20916	14328
68	3.499	509.28867	Unknown	[M-H]-		0.2	False	null	null	null	null		null	null	null	null	null	21.92	Blank_01_180104225037	509.28867:93382 510.29202:40223 511.29538:6009		1934	0	1310	93382	43187
69	3.286	509.29065	Unknown	[M-H]-		0.2	False	null	null	null	null		null	null	null	null	null	54.5	Blank_01_180105013944	509.29065:129190 510.294:34662 511.29736:7290		1275	0	0	1880	129190
70	6.449	509.36145	Unknown	[M-H]-		0.2	False	null	null	null	null		null	null	null	null	null	22.92	20180104_RG_01L	509.36145:52682 510.3648:25157 511.36816:9476		52682	19424	25929	14368	6908
71	6.238	509.36188	Unknown	[M-H2O-H]-	adduct linked to 885_[M+FA-H]-	0.2	False	null	null	null	null		null	null	null	null	null	22.42	20180104_RG_01L	509.36188:59837 510.36523:34080 511.36859:61434		59837	30625	29899	20740	25169
72	0.597	509.96664	Unknown	[M-H]-		0.2	False	null	null	null	null		null	null	null	null	null	10.61	20180104_RG_01L	509.96664:14277 510.96999:0 511.97335:5055		14277	1419	0	0	0
73	0.849	510.1553	Unknown	[M-H2O-H]-	adduct linked to 895_[M+FA-H]-	0.2	False	null	null	null	null		null	null	null	null	null	2.03	20180104_RG_01R	510.1553:31793 511.15865:12695 512.16201:9861		0	31793	0	0	0
74	3.876	510.23871	Unknown	[M-H]-	similar chromatogram in higher mz_162; similar chromatogram in higher mz_1118; similar chromatogram in higher mz_366; similar chromatogram in higher mz_578; similar chromatogram in higher mz_952; similar chromatogram in higher mz_2782; similar chromatogram in higher mz_4631	0.2	True	null	null	null	null		null	null	null	null	null	8.46	20180104_RG_01R	510.23871:132238 511.24206:85292 512.24542:121098	51.87464:899 52.26205:1041 78.02794:1113 79.58001:1221 81.54573:1287 91.99472:2628 101.93428:1356 104.47921:1298 106.58316:1351 141.2718:1193 192.43633:2129 255.23233:19781 299.7572:1561 452.27826:10519 483.95795:1346 510.24057:2068	0	132238	0	0	0
75	3.384	510.3811	Unknown	[M-H]-		0.2	False	null	null	null	null		null	null	null	null	null	6.57	20180104_RG_01L	510.3811:30768 511.38445:11032 512.38781:0		30768	0	0	0	0
76	6.298	510.97867	Unknown	[M-H2O-H]-	adduct linked to 247_[M-H]-	0.2	False	null	null	null	null		null	null	null	null	null	2.89	20180104_RG_01L	510.97867:48506 511.98202:0 512.98538:66171		48506	34366	35301	51655	45825
77	4.073	511.00058	Unknown	[M-H]-		0.2	False	null	null	null	null		null	null	null	null	null	2	20180104_RG_01L	511.00058:84349 512.00393:0 513.00729:157052		84349	71936	66474	65123	75769
78	3.576	511.02005	Unknown	[M-H2O-H]-	adduct linked to 250_[M-H]-	0.2	False	null	null	null	null		null	null	null	null	null	5.08	20180104_RG_01R	511.02005:72726 512.0234:26901 513.02676:149987		45788	72726	58719	48246	47336
79	1.018	511.08902	Unknown	[M-H]-		0.4	False	null	null	null	null		null	null	null	null	null	11.28	20180104_RG_01R	511.08902:157909 512.09237:59926 513.09573:529669		62541	157909	925	0	992
80	0.841	511.0892	Unknown	[M-H2O-H]-	adduct linked to 906_[M+FA-H]-	0.4	False	null	null	null	null		null	null	null	null	null	6.85	20180104_RG_01R	511.0892:101879 512.09255:40265 513.09591:214527		21598	101879	925	0	0
81	4.833	511.11462	Unknown	[M-H]-		0.2	False	null	null	null	null		null	null	null	null	null	2.46	20180104_RG_01R	511.11462:21104 512.11797:31965 513.12133:13306		0	21104	0	0	0
82	0.743	511.24222	Unknown	[M-H]-		0.2	False	null	null	null	null		null	null	null	null	null	3	20180104_RG_01R	511.24222:39959 512.24557:17899 513.24893:0		1063	39959	0	0	0
83	2.701	511.25467	Unknown	[M-H]-		0.2	False	null	null	null	null		null	null	null	null	null	2.16	20180104_RG_01R	511.25467:28741 512.25802:7599 513.26138:0		0	28741	0	0	0
84	2.135	511.25531	Unknown	[M-H]-		0.2	False	null	null	null	null		null	null	null	null	null	3.36	20180104_RG_01R	511.25531:46082 512.25866:10681 513.26202:106164		0	46082	0	0	0
85	0.604	511.93527	Unknown	[M-H]-	similar chromatogram in higher mz_88; similar chromatogram in higher mz_1255	0.2	False	null	null	null	null		null	null	null	null	null	9.76	20180104_RG_01R	511.93527:41033 512.93862:13983 513.94198:2292964		1479	41033	0	0	0
86	4.458	511.96127	Unknown	[M-H]-		0.2	False	null	null	null	null		null	null	null	null	null	8.15	20180104_RG_01L	511.96127:36515 512.96462:22923 513.96798:36631		36515	9725	10045	0	0
87	0.72	512.02643	Unknown	[M-H]-		0.2	False	null	null	null	null		null	null	null	null	null	10.65	20180104_RG_01R	512.02643:18310 513.02978:0 514.03314:0		0	18310	0	0	0
88	0.604	512.16071	Unknown	[M-H]-		0.2	True	null	null	null	null		null	null	null	null	null	42002.23	20180104_RG_01R	512.16071:2100112 513.16406:1971827 514.16742:357109	71.01263:2252 79.95642:5594 80.96444:10552 85.52705:1729 87.0076:5742 96.95882:439421 97.5419:1441 117.03349:1864 119.04925:7932 145.02888:13274 158.84558:8180 162.03195:5943 163.04031:15729 166.96419:15700 183.64117:1451 192.43123:1981 206.9969:5348 225.00635:336776 283.8941:1678 286.14426:255160 376.69763:1626 447.67596:1514 475.95865:1793 512.15997:351756	999	2100112	1051	0	0
89	0.505	512.16205	Unknown	[M-H]-		0.2	False	null	null	null	null		null	null	null	null	null	11.79	20180104_RG_01R	512.16205:20263 513.1654:19675 514.16876:4540		756	20263	845	0	0
90	0.411	512.90454	Unknown	[M-H]-		0.4	True	null	null	null	null		null	null	null	null	null	92.73	20180104_RG_01R	512.90454:302604 513.90789:1001889 514.91125:1168270	51.12268:1250 59.17626:1204 71.1918:1120 78.52327:1146 85.52931:1658 89.8347:1109 92.2682:1141 102.12003:1409 124.8469:1273 138.52663:1325 168.88435:1285 174.95602:1779 192.44139:1833 202.43512:1285 219.96695:1508 268.31729:1475 304.85773:1376 329.42554:1374	10477	302604	1085	609	0
91	1.993	512.92072	Unknown	[M-H]-		0.2	False	null	null	null	null		null	null	null	null	null	3.78	Blank_01_180104205754	512.92072:22707 513.92407:19441 514.92743:0		0	3165	22707	6775	19169
92	1.013	513.10394	Unknown	[M-H]-		0.4	True	null	null	null	null		null	null	null	null	null	26.01	20180104_RG_01R	513.10394:425903 514.10729:243273 515.11065:38389768	61.09358:1049 77.03905:1160 93.0338:6466 105.03454:2094 109.0294:2697 111.04398:1570 133.0289:59122 134.03166:1567 135.04547:27528 149.02333:1374 155.03386:1777 161.02516:7680 173.04646:32910 177.01985:41124 179.03426:23862 191.05568:13762 192.45151:1713 197.07411:1393 215.05547:11045 307.08139:2245 335.07831:7000 351.07095:38454	164218	425903	1112	620	1157
93	3.558	513.15912	Unknown	[M-H]-		0.2	False	null	null	null	null		null	null	null	null	null	3.12	20180104_RG_01R	513.15912:41513 514.16247:30261 515.16583:25438		0	41513	0	0	0
94	0.802	513.19647	Unknown	[M-H]-	similar chromatogram in higher mz_322; similar chromatogram in higher mz_3209; similar chromatogram in higher mz_1627	0.4	True	null	null	null	null		null	null	null	null	null	18.77	20180104_RG_01R	513.19647:207019 514.19982:87633 515.20318:14374	53.52304:1028 59.01294:1719 59.91681:1006 65.90203:1028 71.01265:5977 83.97:1195 85.02879:3085 85.52706:1538 89.02444:1268 101.02372:1639 113.02483:1815 128.16557:1306 172.80069:1702 191.20914:1214 251.85518:1388 261.11118:2626 263.47656:1277 267.07913:1332 283.15601:2155 434.71988:1375 445.20636:8339 467.18649:12446	40779	207019	0	0	0
95	1.991	513.22937	Unknown	[M-H]-	found in higher mz's MsMs_5419; found in higher mz's MsMs_5344; found in higher mz's MsMs_2007; found in higher mz's MsMs_993; found in higher mz's MsMs_838	1	True	null	null	null	null		null	null	null	null	null	7536.32	20180104_RG_01L	513.23242:776642 514.23577:585798 515.23913:118064	57.15876:1209 70.693:1190 72.7344:1294 91.99556:4397 103.33583:1364 112.38808:1362 144.35902:1363 194.5529:1482 216.1339:1470 250.10133:1233 252.71043:1361 287.12924:153063 288.13376:1818 301.14539:7465 302.15427:7028 303.16306:37508 315.16486:4895 334.14297:26533 334.42181:1467 385.72015:1603 426.18964:5533 439.1994:1422 469.24396:94284 470.23865:1974 513.22742:26180	776642	7437047	32138518	21516626	21535536
